business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level
OPERATIONAL,"{'location': {'lat': 44.05113799999999, 'lng': -123.0956416}, 'viewport': {'northeast': {'lat': 44.05247833029151, 'lng': -123.0943636697085}, 'southwest': {'lat': 44.04978036970851, 'lng': -123.0970616302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Whirled Pies Downtown,{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110304031970064041930"">Whirled Pies Downtown</a>'], 'photo_reference': 'AW30NDwQGDWe5KcBxCsDJs4fR6Fb0gED4RFi9hjIJgN7b6ePYGM63Pzn80QivSt-h_-kioTWHB224vtL4ec015a4y-v3mXQtRQFI6tgbW6ez3kR-ucHJL12S0FDLhCNG4lRb3oaCPceik71z6nPF0UQvLdTzQFb7XAsOoWcKeOSAZ7SdUslW', 'width': 2048}]",ChIJaYk9ymwewVQR04AHEQbDyfA,"{'compound_code': '3W23+FP Eugene, OR, USA', 'global_code': '84PR3W23+FP'}",4.3,ChIJaYk9ymwewVQR04AHEQbDyfA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",637,"199 West 8th Avenue, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.06783739999999, 'lng': -123.0723681}, 'viewport': {'northeast': {'lat': 44.0689744302915, 'lng': -123.0708986697085}, 'southwest': {'lat': 44.0662764697085, 'lng': -123.0735966302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118327213791789510511"">Y妹Y笨</a>'], 'photo_reference': 'AW30NDwSSebhYgsYaZQ1xgbn9oIJ-bAHz6ZyoSBM236Op9QjTe0wmTH_0Yp17olCE4xeLIYSuTKSw_xnh8yKmB-7VpiuuzQmWA2W9AUffjXxGV5LNUEKQee5JA7nSqaxndbfN5q9bTTVh2o55dGMdiCDoLchXTQMzxFcC2fhz-8JKp_eYtYg', 'width': 3024}]",ChIJYQ-g__vhwFQRBx8KMS0QvGs,"{'compound_code': '3W9H+43 Eugene, OR, USA', 'global_code': '84PR3W9H+43'}",4.1,ChIJYQ-g__vhwFQRBx8KMS0QvGs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",846,"460 Coburg Road Ste 302, Eugene",1.0
OPERATIONAL,"{'location': {'lat': 44.07128609999999, 'lng': -123.1043291}, 'viewport': {'northeast': {'lat': 44.07247393029149, 'lng': -123.1029506697085}, 'southwest': {'lat': 44.06977596970849, 'lng': -123.1056486302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2465, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100299576244550238650"">JEFF FILKINS</a>'], 'photo_reference': 'AW30NDzp5To6It0gGN8py4o5DubcnyLGhFAlCN6BUqfyj8orAlyFNCpE49GDi0_BS6vqehrHGfhweLtkWq8KH8ha2Rm98oUZ-X9wNXd54n5GhJ6i4T1D-7idSRg24jbwcPqqqzIoJK_xVUDXmrmBYsh_JAjqmv71xu_KqMhG6vJhpnqwv3_f', 'width': 3938}]",ChIJl_8eOuUdwVQRfVPJFNKM4GQ,"{'compound_code': '3VCW+G7 Eugene, OR, USA', 'global_code': '84PR3VCW+G7'}",4.3,ChIJl_8eOuUdwVQRfVPJFNKM4GQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3470,"1077 Valley River Drive, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.0735697, 'lng': -123.1472461}, 'viewport': {'northeast': {'lat': 44.0748101802915, 'lng': -123.1457138697085}, 'southwest': {'lat': 44.0721122197085, 'lng': -123.1484118302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Putters Family Entertainment Center,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115449097872072014292"">Ashlee Bruce</a>'], 'photo_reference': 'AW30NDzstu2Z95XkGUHv1Ig0yzDj_wpJiRj4CW0JBYYeYN-fpfPcwc4GHCYkIJ-FzLI7cKHCdH7o2rjcSQZIxzZodeszJwvPpZ8ZQx-WwVEKjwFqeLIBS5MB03orhUaWM6ncMsy4G3OLTOZkE7p34n9qhZ3IDdd9MsISOmy3duZkv3Y6RWps', 'width': 3024}]",ChIJF5qSA3EewVQRonJt-JAZA5U,"{'compound_code': '3VF3+C4 Eugene, OR, USA', 'global_code': '84PR3VF3+C4'}",4.2,ChIJF5qSA3EewVQRonJt-JAZA5U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1682,"1156 State Highway 99 North, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.05815399999999, 'lng': -123.107418}, 'viewport': {'northeast': {'lat': 44.0598023302915, 'lng': -123.1060685697085}, 'southwest': {'lat': 44.0571043697085, 'lng': -123.1087665302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hop Valley Brewing Co,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111671546572364340267"">Shaun Ratliff</a>'], 'photo_reference': 'AW30NDwh4EvwvMVnzj0caAhIb-bgNUCepijZaytl3OTkOf3dcFIcmobl5-mnk0p3Id-kZKTIrP9vdQ4NZFNdK9apPxAstDHlRs0lAXglQWptnDDx4U2kGk7xXV6vjZl7KyZoUJFTI6iS6THao4BUJKEDod4DfSM_ZkuFzFmNc4b-8pjhMbQj', 'width': 1868}]",ChIJC4938HQewVQR2h9zs-5ghUo,"{'compound_code': '3V5V+72 Eugene, OR, USA', 'global_code': '84PR3V5V+72'}",4.4,ChIJC4938HQewVQR2h9zs-5ghUo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",435,"990 West 1st Avenue, Eugene",
OPERATIONAL,"{'location': {'lat': 44.05459740000001, 'lng': -123.0895267}, 'viewport': {'northeast': {'lat': 44.0559648802915, 'lng': -123.0882468697085}, 'southwest': {'lat': 44.0532669197085, 'lng': -123.0909448302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Tap and Growler,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108753354197759087833"">John T.</a>'], 'photo_reference': 'AW30NDyx2Ik4qOjglwhldWt1fn9WymMf79Fdf01oLqVoFzhXdYX4HbfjwS3-Hel1qMW7mi59zj-nROlDqKPqHXlndxAnOf5tjMbWIJzsk4SaTX-i_XaGcRGtDPgAqPIY7LXEEk0GbW4mfATzGs25ZsJYHIsZa6ZRpU7UUUPrtAifAMDXpVj2', 'width': 4032}]",ChIJy-umnREewVQRDu9gMw_y0go,"{'compound_code': '3W36+R5 Eugene, OR, USA', 'global_code': '84PR3W36+R5'}",4.1,ChIJy-umnREewVQRDu9gMw_y0go,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",180,"207 East 5th Avenue, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.0309316, 'lng': -123.0910954}, 'viewport': {'northeast': {'lat': 44.03225503029149, 'lng': -123.0896845697085}, 'southwest': {'lat': 44.0295570697085, 'lng': -123.0923825302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Off The Waffle | South Eugene,{'open_now': False},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115998034464661734403"">John Kelly</a>'], 'photo_reference': 'AW30NDwaqche0Nl1uRplDVdRcYwHN-ZOi_oVnj38CoYSizYU6X_e8uuVJ4GU90wJNeccFbTBkmbMtXnvOkPFU18IUNBIzfzMeV-Dwhl_pMl8E7WOa8uy_LYiC9w9OvJsnEuPsKW9HqzjbxSpLQ9re87pqmifdU_IaqA73p_XieZd_KghINbG', 'width': 4608}]",ChIJwdJ_1FMewVQRFgxkQeAkDOo,"{'compound_code': '2WJ5+9H Eugene, OR, USA', 'global_code': '84PR2WJ5+9H'}",4.2,ChIJwdJ_1FMewVQRFgxkQeAkDOo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",534,"2540 Willamette Street, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.0563657, 'lng': -123.034178}, 'viewport': {'northeast': {'lat': 44.0578116802915, 'lng': -123.0328095697085}, 'southwest': {'lat': 44.05511371970851, 'lng': -123.0355075302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109855533719282552670"">Carolyn Marie Dimmick</a>'], 'photo_reference': 'AW30NDy7XY7gAZgIdiwVNs_Vf8ceiiS0VscFxEKA94jPAYgdDmPOa8usKHKxK8U2L6k3Qu6raJtQyBNj5ZUjGxK3MDAOfrbpAlwUBThYd6KTKEftjhAwNSQ7i6yCRng_LsOaoLxMvDyG0W_B6E1hHlaT76YfBk7a2jh1yUYUIQz9xtRudG_M', 'width': 2268}]",ChIJwU-pAcfhwFQRwjUP1wThEeQ,"{'compound_code': '3X48+G8 Springfield, OR, USA', 'global_code': '84PR3X48+G8'}",3.8,ChIJwU-pAcfhwFQRwjUP1wThEeQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",131,"551 West Centennial Boulevard, Springfield",1.0
OPERATIONAL,"{'location': {'lat': 44.0544355, 'lng': -123.089915}, 'viewport': {'northeast': {'lat': 44.05577488029149, 'lng': -123.0884424697085}, 'southwest': {'lat': 44.0530769197085, 'lng': -123.0911404302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Steelhead Brewery & McKenzie Brewing,{'open_now': False},"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103133565206388645583"">McKenzie Brewing</a>'], 'photo_reference': 'AW30NDxbFYyc6dqHrJcNQGCAK52pZybRLgMzCdVZOlYYI77fYEBikaIcD1Jil2CUI8siyVwA3_bSqVxnxP-dia3oRu1yMdGhwAX13ysyy_dfOmQHi1dyfXybl4i5qpWLAu89lIjaZuNrTLdSfTV3wYJQzK0ER0M7cA7fVHjO1bhYc47PvN_H', 'width': 2000}]",ChIJlZF8gBEewVQRbzdMqYGKdhU,"{'compound_code': '3W36+Q2 Eugene, OR, USA', 'global_code': '84PR3W36+Q2'}",4.1,ChIJlZF8gBEewVQRbzdMqYGKdhU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",510,"199 East 5th Avenue, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.0538448, 'lng': -123.0888378}, 'viewport': {'northeast': {'lat': 44.05517228029149, 'lng': -123.0876744197085}, 'southwest': {'lat': 44.0524743197085, 'lng': -123.0903723802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Marché,{'open_now': True},"[{'height': 3590, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111455687630259906475"">KWW Media</a>'], 'photo_reference': 'AW30NDzeC1uwQNOwNaPd2covO_kTn0ZdPPKK_xtDDEt7UgPQV3Z0hbIEBr-CBeCvBTxkLQk-Hym9k4iPnRy8aPJO61zzIW15qJlByufrcNX342Gn-Qu4gHdN6I_gb9DUqZGBGrQ25yuB2OmYuXa6o8Yflzap5OPXO7O6EbCWnA6SvpzBkZDv', 'width': 4456}]",ChIJubhuZBEewVQRaoyl6nchG8I,"{'compound_code': '3W36+GF Eugene, OR, USA', 'global_code': '84PR3W36+GF'}",4.3,ChIJubhuZBEewVQRaoyl6nchG8I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",737,"296 East 5th Avenue, Eugene",3.0
OPERATIONAL,"{'location': {'lat': 44.04761449999999, 'lng': -123.1391125}, 'viewport': {'northeast': {'lat': 44.0490112302915, 'lng': -123.1378754197085}, 'southwest': {'lat': 44.0463132697085, 'lng': -123.1405733802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108107507462938048769"">Jessica Jones</a>'], 'photo_reference': 'AW30NDztIGy7s11tJNDaHHcXihNs69JRoNgHid7WXdGDE12iX-seacLUlmmkRatxYFqZpbmiemrXQ4Mwh16lkS9-0Xlm60nUj-otB_T-mW5ZXeWpvMnvHwxfC-l7SERLcp6x6uQgMnnKUS9kp6n_WC0YtP0D0UgZJ-tbT-3Gs32p0cYgxoxn', 'width': 2560}]",ChIJ-5vvsYYewVQRsjWmgiRKNbg,"{'compound_code': '2VX6+29 Eugene, OR, USA', 'global_code': '84PR2VX6+29'}",4.0,ChIJ-5vvsYYewVQRsjWmgiRKNbg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",270,"3150 West 11th Avenue, Eugene",1.0
